CustomerID,Lookalikes
C0001,"[('C0107', 0.9999), ('C0048', 0.9996), ('C0190', 0.9989)]"
C0002,"[('C0178', 0.9983), ('C0159', 0.9968), ('C0128', 0.9769)]"
C0003,"[('C0133', 0.998), ('C0052', 0.9965), ('C0031', 0.9957)]"
C0004,"[('C0165', 0.9935), ('C0169', 0.9935), ('C0082', 0.992)]"
C0005,"[('C0186', 0.9998), ('C0007', 0.9992), ('C0115', 0.9973)]"
C0006,"[('C0187', 0.9976), ('C0011', 0.9973), ('C0137', 0.9962)]"
C0007,"[('C0115', 0.9994), ('C0005', 0.9992), ('C0186', 0.9984)]"
C0008,"[('C0122', 0.9862), ('C0194', 0.9848), ('C0024', 0.9847)]"
C0009,"[('C0061', 0.9945), ('C0062', 0.9927), ('C0167', 0.9898)]"
C0010,"[('C0111', 0.995), ('C0062', 0.9943), ('C0167', 0.9935)]"
C0011,"[('C0137', 0.9989), ('C0174', 0.9986), ('C0191', 0.9983)]"
C0012,"[('C0163', 0.9979), ('C0113', 0.9972), ('C0104', 0.9967)]"
C0013,"[('C0108', 0.9977), ('C0099', 0.9975), ('C0129', 0.9412)]"
C0014,"[('C0060', 0.9999), ('C0089', 0.9806), ('C0119', 0.9573)]"
C0015,"[('C0131', 0.9942), ('C0094', 0.9848), ('C0125', 0.9763)]"
C0016,"[('C0183', 0.9992), ('C0055', 0.9972), ('C0026', 0.9968)]"
C0017,"[('C0041', 0.9951), ('C0057', 0.9914), ('C0064', 0.9777)]"
C0018,"[('C0125', 0.9819), ('C0047', 0.9813), ('C0139', 0.9768)]"
C0019,"[('C0064', 0.9908), ('C0135', 0.9899), ('C0070', 0.9898)]"
C0020,"[('C0050', 0.9751), ('C0035', 0.9622), ('C0157', 0.9506)]"
